gblup,EGBLUP,BA,BL,RF,RKHS
95.006,95.60162,95.149,95.025,96.458,95.35
95.242,96.44189,95.502,95.251,97.924,95.699
95.242,96.42538,95.502,95.251,97.924,95.699
94.773,92.47601,94.818,94.717,91.452,93.504
95.091,94.66023,95.603,95.276,95.718,94.99
94.216,94.58808,94.164,94.229,94.287,94.57
94.589,95.77554,94.628,94.568,94.998,94.896
94.016,92.78427,93.994,93.968,93.345,93.537
93.808,95.01649,93.79,93.858,95.959,94.494
94.698,94.89073,94.64,94.671,95.21,94.807
95.242,96.3705,95.502,95.251,97.924,95.699
95.242,96.40957,95.502,95.251,97.924,95.699
94.643,96.35438,94.83,94.643,97.182,94.875
95.242,96.42965,95.502,95.251,97.924,95.699
94.698,94.82435,94.64,94.671,95.21,94.807
94.455,93.9711,94.187,94.384,94.836,94.422
94.404,94.62748,94.446,94.427,93.996,94.619
94.216,94.58394,94.164,94.229,94.287,94.57
93.806,94.95117,93.78,93.854,96.2,94.483
93.808,94.96187,93.79,93.858,95.959,94.494
94.355,94.10336,94.573,94.374,94.185,94.177
94.22,94.78097,94.185,94.238,99.368,94.614
94.206,94.34386,94.196,94.212,94.347,94.502
95.242,96.43009,95.502,95.251,97.924,95.699
95.067,95.17185,95.428,95.039,96.482,95.221
94.773,92.46822,94.818,94.717,91.452,93.504
94.698,94.86376,94.64,94.671,95.21,94.807
94.216,94.61596,94.164,94.229,94.287,94.57
94.216,94.58785,94.164,94.229,94.287,94.57
94.589,95.71909,94.628,94.568,94.998,94.896
95.242,96.40613,95.502,95.251,97.924,95.699
94.739,95.10885,94.743,94.733,95.525,94.923
93.555,93.73361,93.349,93.515,93.919,93.572
95.242,96.41424,95.502,95.251,97.924,95.699
94.643,96.30225,94.83,94.643,97.182,94.875
94.216,94.62352,94.164,94.229,94.287,94.57
94.773,92.46498,94.818,94.717,91.452,93.504
95.135,94.44869,95.625,95.307,94.644,94.914
93.806,95.00791,93.78,93.854,96.2,94.483
94.216,94.58611,94.164,94.229,94.287,94.57
93.806,94.96776,93.78,93.854,96.2,94.483
95.024,95.92915,95.224,95.017,97.14,95.465
95.242,96.40596,95.502,95.251,97.924,95.699
94.295,94.40857,94.522,94.3,94.891,94.187
94.216,94.60529,94.164,94.229,94.287,94.57
96.171,96.2535,96.43,96.169,99.915,95.876
94.67,94.79869,94.692,94.708,95.583,94.658
94.776,94.45252,94.722,94.704,91.576,94.681
94.698,94.81015,94.64,94.671,95.21,94.807
94.216,94.63025,94.164,94.229,94.287,94.57
94.215,94.9816,94.233,94.234,94.265,94.653
93.806,94.94213,93.78,93.854,96.2,94.483
95.242,96.37687,95.502,95.251,97.924,95.699
95.242,96.3518,95.502,95.251,97.924,95.699
94.216,94.62148,94.164,94.229,94.287,94.57
94.216,94.61264,94.164,94.229,94.287,94.57
95.242,96.41831,95.502,95.251,97.924,95.699
95.339,96.10048,95.678,95.367,97.604,95.543
94.698,94.83822,94.64,94.671,95.21,94.807
94.698,94.86299,94.64,94.671,95.21,94.807
93.806,94.95323,93.78,93.854,96.2,94.483
94.589,95.78074,94.628,94.568,94.998,94.896
93.806,94.92992,93.78,93.854,96.2,94.483
93.806,94.93131,93.78,93.854,96.2,94.483
94.739,95.09892,94.743,94.733,95.525,94.923
95.485,95.45574,95.736,95.421,95.172,95.539
94.216,94.62361,94.164,94.229,94.287,94.57
96.171,96.25422,96.43,96.169,99.915,95.876
94.194,94.65974,94.113,94.2,94.683,94.545
94.773,92.43155,94.818,94.717,91.452,93.504
94.74,94.55744,94.657,94.691,91.509,94.749
93.806,94.9941,93.78,93.854,96.2,94.483
94.589,95.72057,94.628,94.568,94.998,94.896
94.589,95.70758,94.628,94.568,94.998,94.896
93.806,94.93765,93.78,93.854,96.2,94.483
95.242,96.4063,95.502,95.251,97.924,95.699
95.637,95.07025,95.85,95.654,95.3,95.559
94.216,94.57453,94.164,94.229,94.287,94.57
95.242,96.39158,95.502,95.251,97.924,95.699
94.216,94.6108,94.164,94.229,94.287,94.57
94.773,92.46616,94.818,94.717,91.452,93.504
94.816,94.44437,94.913,94.865,94.548,94.694
94.216,94.61246,94.164,94.229,94.287,94.57
94.589,95.71419,94.628,94.568,94.998,94.896
93.867,94.82583,93.878,93.918,96.096,94.382
95.242,96.43408,95.502,95.251,97.924,95.699
95.242,96.4006,95.502,95.251,97.924,95.699
95.242,96.38718,95.502,95.251,97.924,95.699
94.216,94.62533,94.164,94.229,94.287,94.57
94.644,94.58401,94.515,94.647,95.394,94.734
94.216,94.59553,94.164,94.229,94.287,94.57
94.773,92.41791,94.818,94.717,91.452,93.504
94.698,94.82954,94.64,94.671,95.21,94.807
94.404,94.60577,94.446,94.427,93.996,94.619
94.589,95.73173,94.628,94.568,94.998,94.896
94.589,95.75531,94.628,94.568,94.998,94.896
95.242,96.40068,95.502,95.251,97.924,95.699
94.739,95.09292,94.743,94.733,95.525,94.923
94.216,94.61329,94.164,94.229,94.287,94.57
94.216,94.6251,94.164,94.229,94.287,94.57
95.242,96.41616,95.502,95.251,97.924,95.699
94.216,94.61319,94.164,94.229,94.287,94.57
94.698,94.86468,94.64,94.671,95.21,94.807
94.698,94.8491,94.64,94.671,95.21,94.807
94.216,94.56668,94.164,94.229,94.287,94.57
94.589,95.72874,94.628,94.568,94.998,94.896
93.806,94.97136,93.78,93.854,96.2,94.483
93.808,94.96649,93.79,93.858,95.959,94.494
95.242,96.39467,95.502,95.251,97.924,95.699
95.242,96.43294,95.502,95.251,97.924,95.699
95.242,96.40417,95.502,95.251,97.924,95.699
94.644,94.63174,94.515,94.647,95.394,94.734
94.216,94.57915,94.164,94.229,94.287,94.57
94.575,94.72025,94.41,94.531,95.158,94.677
95.135,94.47935,95.625,95.307,94.644,94.914
93.767,92.8652,93.575,93.702,94.439,93.373
94.216,94.61761,94.164,94.229,94.287,94.57
94.643,95.77339,94.733,94.631,95.092,94.916
95.242,96.40796,95.502,95.251,97.924,95.699
95.242,96.40565,95.502,95.251,97.924,95.699
95.242,96.42064,95.502,95.251,97.924,95.699
94.216,94.5676,94.164,94.229,94.287,94.57
96.13,96.15463,96.326,96.108,95.428,95.791
95.242,96.40201,95.502,95.251,97.924,95.699
94.739,95.1121,94.743,94.733,95.525,94.923
94.742,94.64768,94.661,94.702,93.242,94.735
93.806,94.95361,93.78,93.854,96.2,94.483
94.216,94.59566,94.164,94.229,94.287,94.57
94.266,93.18112,94.197,94.223,94.07,93.62
94.698,94.84232,94.64,94.671,95.21,94.807
94.739,95.09971,94.743,94.733,95.525,94.923
94.216,94.59697,94.164,94.229,94.287,94.57
95.242,96.38114,95.502,95.251,97.924,95.699
95.242,96.44953,95.502,95.251,97.924,95.699
94.698,94.90266,94.64,94.671,95.21,94.807
94.776,94.94704,94.746,94.744,95.538,94.891
94.698,94.83834,94.64,94.671,95.21,94.807
93.618,94.5156,93.499,93.655,95.836,94.289
94.216,94.61067,94.164,94.229,94.287,94.57
94.589,95.76344,94.628,94.568,94.998,94.896
94.446,95.0108,94.866,94.545,94.449,94.62
95.882,95.06648,95.977,95.855,92.139,95.387
93.806,94.95405,93.78,93.854,96.2,94.483
94.216,94.58357,94.164,94.229,94.287,94.57
95.242,96.40434,95.502,95.251,97.924,95.699
94.216,94.58399,94.164,94.229,94.287,94.57
94.698,94.83533,94.64,94.671,95.21,94.807
94.748,94.65266,94.646,94.71,93.225,94.734
94.216,94.61406,94.164,94.229,94.287,94.57
94.589,95.72197,94.628,94.568,94.998,94.896
93.806,94.97662,93.78,93.854,96.2,94.483
93.806,94.96096,93.78,93.854,96.2,94.483
95.242,96.43976,95.502,95.251,97.924,95.699
94.216,94.59595,94.164,94.229,94.287,94.57
94.216,94.62265,94.164,94.229,94.287,94.57
95.414,96.53939,95.693,95.435,97.928,95.776
94.216,94.61032,94.164,94.229,94.287,94.57
94.773,92.46231,94.818,94.717,91.452,93.504
94.742,94.66653,94.661,94.702,93.242,94.735
94.637,93.00899,94.748,94.682,91.428,94.148
94.216,94.60471,94.164,94.229,94.287,94.57
93.943,95.05848,93.872,93.94,96.155,94.538
95.138,96.1813,95.368,95.16,95.184,95.535
94.739,95.05628,94.743,94.733,95.525,94.923
94.806,96.65649,94.882,94.826,100.115,95.101
94.216,94.60251,94.164,94.229,94.287,94.57
96.13,96.10321,96.326,96.108,95.428,95.791
94.216,94.64172,94.164,94.229,94.287,94.57
94.751,92.56383,94.791,94.694,91.768,93.522
95.135,94.44764,95.625,95.307,94.644,94.914
94.216,94.60278,94.164,94.229,94.287,94.57
94.216,94.65872,94.164,94.229,94.287,94.57
94.562,95.50572,94.58,94.516,92.964,94.832
94.804,96.80694,94.872,94.821,100.396,95.116
94.698,94.85076,94.64,94.671,95.21,94.807
95.242,96.40897,95.502,95.251,97.924,95.699
94.206,94.31366,94.196,94.212,94.347,94.502
96.171,96.31019,96.43,96.169,99.915,95.876
94.821,94.70399,94.768,94.775,90.023,94.818
94.742,94.62863,94.661,94.702,93.242,94.735
95.135,94.4615,95.625,95.307,94.644,94.914
94.452,95.19686,94.518,94.454,94.557,94.774
94.589,95.74299,94.628,94.568,94.998,94.896
93.851,94.99528,93.801,93.885,96.085,94.482
95.242,96.42909,95.502,95.251,97.924,95.699
95.242,96.39462,95.502,95.251,97.924,95.699
94.452,95.16621,94.518,94.454,94.557,94.774
94.216,94.64107,94.164,94.229,94.287,94.57
95.242,96.44317,95.502,95.251,97.924,95.699
94.7,94.59947,94.61,94.659,88.625,94.72
94.773,92.49753,94.818,94.717,91.452,93.504
94.776,94.91441,94.746,94.744,95.538,94.891
93.877,95.05911,93.859,93.918,96.154,94.533
94.589,95.69506,94.628,94.568,94.998,94.896
93.806,94.97709,93.78,93.854,96.2,94.483
95.242,96.39752,95.502,95.251,97.924,95.699
95.242,96.45503,95.502,95.251,97.924,95.699
95.242,96.42402,95.502,95.251,97.924,95.699
94.206,94.29521,94.196,94.212,94.347,94.502
95.242,96.4326,95.502,95.251,97.924,95.699
94.216,94.59912,94.164,94.229,94.287,94.57
94.698,94.81774,94.64,94.671,95.21,94.807
94.739,95.05873,94.743,94.733,95.525,94.923
93.806,94.97231,93.78,93.854,96.2,94.483
94.216,94.6292,94.164,94.229,94.287,94.57
94.589,95.71395,94.628,94.568,94.998,94.896
93.806,94.93816,93.78,93.854,96.2,94.483
95.242,96.37781,95.502,95.251,97.924,95.699
95.242,96.39613,95.502,95.251,97.924,95.699
94.216,94.59476,94.164,94.229,94.287,94.57
95.242,96.42334,95.502,95.251,97.924,95.699
94.216,94.60278,94.164,94.229,94.287,94.57
94.624,92.81484,94.661,94.584,93.396,93.643
94.698,94.84065,94.64,94.671,95.21,94.807
94.698,94.83633,94.64,94.671,95.21,94.807
94.589,95.72332,94.628,94.568,94.998,94.896
94.617,93.96505,94.897,94.649,94.073,94.355
93.942,95.17913,93.974,94.008,95.763,94.648
94.739,95.05806,94.743,94.733,95.525,94.923
95.242,96.43371,95.502,95.251,97.924,95.699
