GBLUP,EGBLUP,BayesA,BayesL,RF,RKHS
95.006,95.45253,95.143,95.119,96.903,95.471
95.242,96.33146,95.449,95.408,98.086,95.929
95.242,96.33153,95.449,95.408,98.086,95.929
94.773,92.54648,94.754,94.76,91.773,93.239
95.091,94.80999,95.54,95.544,95.706,95.03
94.216,94.60119,94.207,94.215,94.296,94.623
94.589,95.50971,94.606,94.614,94.934,95.007
94.016,92.92466,93.87,93.97,93.334,93.387
93.808,94.87245,93.887,93.838,96.033,94.51
94.698,94.8667,94.645,94.659,95.255,94.791
95.242,96.316,95.449,95.408,98.086,95.929
95.242,96.33714,95.449,95.408,98.086,95.929
94.643,96.11396,94.781,94.714,96.768,94.941
95.242,96.32843,95.449,95.408,98.086,95.929
94.698,94.82542,94.645,94.659,95.255,94.791
94.455,94.04715,94.212,94.326,94.715,94.301
94.404,94.55611,94.442,94.465,93.99,94.696
94.216,94.58602,94.207,94.215,94.296,94.623
93.806,94.91957,93.877,93.821,96.322,94.508
93.808,94.81518,93.887,93.838,96.033,94.51
94.355,94.26994,94.601,94.496,94.263,94.077
94.22,94.74689,94.227,94.247,99.576,94.627
94.206,94.33978,94.182,94.234,94.057,94.467
95.242,96.34391,95.449,95.408,98.086,95.929
95.067,95.23416,95.36,95.276,96.87,95.454
94.773,92.52881,94.754,94.76,91.773,93.239
94.698,94.85239,94.645,94.659,95.255,94.791
94.216,94.62025,94.207,94.215,94.296,94.623
94.216,94.62885,94.207,94.215,94.296,94.623
94.589,95.51764,94.606,94.614,94.934,95.007
95.242,96.3129,95.449,95.408,98.086,95.929
94.739,95.07675,94.76,94.751,95.568,94.969
93.555,93.81033,93.439,93.456,93.808,93.508
95.242,96.34039,95.449,95.408,98.086,95.929
94.643,96.13358,94.781,94.714,96.768,94.941
94.216,94.61142,94.207,94.215,94.296,94.623
94.773,92.55573,94.754,94.76,91.773,93.239
95.135,94.63833,95.546,95.563,94.71,94.93
93.806,94.84258,93.877,93.821,96.322,94.508
94.216,94.62729,94.207,94.215,94.296,94.623
93.806,94.8601,93.877,93.821,96.322,94.508
95.024,95.84697,95.178,95.096,97.367,95.601
95.242,96.34353,95.449,95.408,98.086,95.929
94.295,94.38221,94.53,94.442,94.899,94.15
94.216,94.60016,94.207,94.215,94.296,94.623
96.171,96.24686,96.311,96.303,99.641,95.975
94.67,94.65566,94.837,94.801,96.04,94.67
94.776,94.45334,94.731,94.774,91.113,94.599
94.698,94.86133,94.645,94.659,95.255,94.791
94.216,94.60399,94.207,94.215,94.296,94.623
94.215,94.838,94.24,94.235,94.094,94.742
93.806,94.89355,93.877,93.821,96.322,94.508
95.242,96.306,95.449,95.408,98.086,95.929
95.242,96.34892,95.449,95.408,98.086,95.929
94.216,94.64754,94.207,94.215,94.296,94.623
94.216,94.60946,94.207,94.215,94.296,94.623
95.242,96.33593,95.449,95.408,98.086,95.929
95.339,96.01734,95.559,95.553,97.646,95.809
94.698,94.87402,94.645,94.659,95.255,94.791
94.698,94.85718,94.645,94.659,95.255,94.791
93.806,94.85959,93.877,93.821,96.322,94.508
94.589,95.51388,94.606,94.614,94.934,95.007
93.806,94.88514,93.877,93.821,96.322,94.508
93.806,94.87915,93.877,93.821,96.322,94.508
94.739,95.12362,94.76,94.751,95.568,94.969
95.485,95.65172,95.461,95.598,95.191,95.675
94.216,94.62949,94.207,94.215,94.296,94.623
96.171,96.25355,96.311,96.303,99.641,95.975
94.194,94.6362,94.166,94.167,94.768,94.586
94.773,92.54526,94.754,94.76,91.773,93.239
94.74,94.61182,94.69,94.637,90.979,94.689
93.806,94.87258,93.877,93.821,96.322,94.508
94.589,95.50485,94.606,94.614,94.934,95.007
94.589,95.50002,94.606,94.614,94.934,95.007
93.806,94.88258,93.877,93.821,96.322,94.508
95.242,96.33231,95.449,95.408,98.086,95.929
95.637,95.26881,95.777,95.779,95.223,95.543
94.216,94.64499,94.207,94.215,94.296,94.623
95.242,96.31944,95.449,95.408,98.086,95.929
94.216,94.6468,94.207,94.215,94.296,94.623
94.773,92.56034,94.754,94.76,91.773,93.239
94.816,94.53423,94.859,94.881,94.647,94.602
94.216,94.64535,94.207,94.215,94.296,94.623
94.589,95.51071,94.606,94.614,94.934,95.007
93.867,94.76569,93.907,93.868,96.196,94.366
95.242,96.30328,95.449,95.408,98.086,95.929
95.242,96.32678,95.449,95.408,98.086,95.929
95.242,96.2889,95.449,95.408,98.086,95.929
94.216,94.61746,94.207,94.215,94.296,94.623
94.644,94.34298,94.461,94.535,95.558,94.7
94.216,94.60421,94.207,94.215,94.296,94.623
94.773,92.58864,94.754,94.76,91.773,93.239
94.698,94.85215,94.645,94.659,95.255,94.791
94.404,94.51204,94.442,94.465,93.99,94.696
94.589,95.5196,94.606,94.614,94.934,95.007
94.589,95.45015,94.606,94.614,94.934,95.007
95.242,96.30973,95.449,95.408,98.086,95.929
94.739,95.09833,94.76,94.751,95.568,94.969
94.216,94.6298,94.207,94.215,94.296,94.623
94.216,94.60135,94.207,94.215,94.296,94.623
95.242,96.3191,95.449,95.408,98.086,95.929
94.216,94.59133,94.207,94.215,94.296,94.623
94.698,94.85595,94.645,94.659,95.255,94.791
94.698,94.85688,94.645,94.659,95.255,94.791
94.216,94.62579,94.207,94.215,94.296,94.623
94.589,95.48892,94.606,94.614,94.934,95.007
93.806,94.89939,93.877,93.821,96.322,94.508
93.808,94.81957,93.887,93.838,96.033,94.51
95.242,96.32849,95.449,95.408,98.086,95.929
95.242,96.34009,95.449,95.408,98.086,95.929
95.242,96.33017,95.449,95.408,98.086,95.929
94.644,94.32716,94.461,94.535,95.558,94.7
94.216,94.63676,94.207,94.215,94.296,94.623
94.575,94.7329,94.405,94.42,95.179,94.57
95.135,94.5995,95.546,95.563,94.71,94.93
93.767,93.07268,93.572,93.653,94.179,93.234
94.216,94.65355,94.207,94.215,94.296,94.623
94.643,95.52376,94.665,94.684,94.967,95.045
95.242,96.30622,95.449,95.408,98.086,95.929
95.242,96.37117,95.449,95.408,98.086,95.929
95.242,96.30554,95.449,95.408,98.086,95.929
94.216,94.61702,94.207,94.215,94.296,94.623
96.13,96.09418,96.195,96.212,95.436,95.846
95.242,96.32624,95.449,95.408,98.086,95.929
94.739,95.12487,94.76,94.751,95.568,94.969
94.742,94.68248,94.651,94.678,93.701,94.69
93.806,94.88004,93.877,93.821,96.322,94.508
94.216,94.60606,94.207,94.215,94.296,94.623
94.266,93.32992,94.19,94.241,94.143,93.55
94.698,94.8703,94.645,94.659,95.255,94.791
94.739,95.07852,94.76,94.751,95.568,94.969
94.216,94.604,94.207,94.215,94.296,94.623
95.242,96.3337,95.449,95.408,98.086,95.929
95.242,96.31625,95.449,95.408,98.086,95.929
94.698,94.85002,94.645,94.659,95.255,94.791
94.776,94.92595,94.756,94.747,95.803,94.877
94.698,94.83875,94.645,94.659,95.255,94.791
93.618,94.39649,93.642,93.572,95.731,94.248
94.216,94.61282,94.207,94.215,94.296,94.623
94.589,95.50855,94.606,94.614,94.934,95.007
94.446,95.19407,95.013,94.798,94.638,94.526
95.882,95.23474,95.842,95.913,92.144,95.348
93.806,94.90642,93.877,93.821,96.322,94.508
94.216,94.59696,94.207,94.215,94.296,94.623
95.242,96.31805,95.449,95.408,98.086,95.929
94.216,94.58447,94.207,94.215,94.296,94.623
94.698,94.84618,94.645,94.659,95.255,94.791
94.748,94.64384,94.664,94.668,93.524,94.699
94.216,94.59994,94.207,94.215,94.296,94.623
94.589,95.51479,94.606,94.614,94.934,95.007
93.806,94.89197,93.877,93.821,96.322,94.508
93.806,94.90591,93.877,93.821,96.322,94.508
95.242,96.31546,95.449,95.408,98.086,95.929
94.216,94.59138,94.207,94.215,94.296,94.623
94.216,94.6027,94.207,94.215,94.296,94.623
95.414,96.48736,95.619,95.647,98.151,96.002
94.216,94.61697,94.207,94.215,94.296,94.623
94.773,92.558,94.754,94.76,91.773,93.239
94.742,94.62807,94.651,94.678,93.701,94.69
94.637,93.03266,94.786,94.746,91.487,93.953
94.216,94.6544,94.207,94.215,94.296,94.623
93.943,95.01784,93.979,93.962,96.229,94.544
95.138,96.09271,95.337,95.3,95.079,95.742
94.739,95.07546,94.76,94.751,95.568,94.969
94.806,96.41178,94.868,94.854,100.648,95.181
94.216,94.64069,94.207,94.215,94.296,94.623
96.13,96.11859,96.195,96.212,95.436,95.846
94.216,94.59637,94.207,94.215,94.296,94.623
94.751,92.75805,94.729,94.734,92.205,93.262
95.135,94.59165,95.546,95.563,94.71,94.93
94.216,94.61597,94.207,94.215,94.296,94.623
94.216,94.60732,94.207,94.215,94.296,94.623
94.562,95.28679,94.5,94.52,93.262,94.928
94.804,96.63876,94.858,94.838,100.964,95.186
94.698,94.84502,94.645,94.659,95.255,94.791
95.242,96.32095,95.449,95.408,98.086,95.929
94.206,94.36591,94.182,94.234,94.057,94.467
96.171,96.24905,96.311,96.303,99.641,95.975
94.821,94.71352,94.763,94.766,90.012,94.773
94.742,94.62181,94.651,94.678,93.701,94.69
95.135,94.57554,95.546,95.563,94.71,94.93
94.452,95.12272,94.514,94.504,94.574,94.911
94.589,95.49197,94.606,94.614,94.934,95.007
93.851,94.86879,93.883,93.84,96.148,94.541
95.242,96.31988,95.449,95.408,98.086,95.929
95.242,96.32166,95.449,95.408,98.086,95.929
94.452,95.16975,94.514,94.504,94.574,94.911
94.216,94.63705,94.207,94.215,94.296,94.623
95.242,96.35409,95.449,95.408,98.086,95.929
94.7,94.65595,94.604,94.62,89.843,94.714
94.773,92.57831,94.754,94.76,91.773,93.239
94.776,94.92217,94.756,94.747,95.803,94.877
93.877,94.94737,93.92,93.886,96.238,94.543
94.589,95.50613,94.606,94.614,94.934,95.007
93.806,94.90596,93.877,93.821,96.322,94.508
95.242,96.34543,95.449,95.408,98.086,95.929
95.242,96.33116,95.449,95.408,98.086,95.929
95.242,96.27675,95.449,95.408,98.086,95.929
94.206,94.36244,94.182,94.234,94.057,94.467
95.242,96.32289,95.449,95.408,98.086,95.929
94.216,94.60072,94.207,94.215,94.296,94.623
94.698,94.85161,94.645,94.659,95.255,94.791
94.739,95.10988,94.76,94.751,95.568,94.969
93.806,94.87498,93.877,93.821,96.322,94.508
94.216,94.59411,94.207,94.215,94.296,94.623
94.589,95.47618,94.606,94.614,94.934,95.007
93.806,94.89161,93.877,93.821,96.322,94.508
95.242,96.36348,95.449,95.408,98.086,95.929
95.242,96.30278,95.449,95.408,98.086,95.929
94.216,94.60023,94.207,94.215,94.296,94.623
